priority_number,priority_date,application_number,provisional,n,priority_country,application_country,filing_order,duplicate_priority
US2015214476P 2015-09-04,2015-09-04,US15434112A 2017-02-16,TRUE,5,US,US,1,FALSE
US14961610A 2015-12-07,2015-12-07,US14961610A 2015-12-07,FALSE,1,US,US,1,FALSE
US2015263792P 2015-12-07,2015-12-07,US15361469A 2016-11-27,TRUE,3,US,US,1,FALSE
US2015263510P 2015-12-04,2015-12-04,US15369733A 2016-12-05,TRUE,3,US,US,1,FALSE
US14958408A 2015-12-03,2015-12-03,US14958408A 2015-12-03,FALSE,1,US,US,1,FALSE
US2015221025P 2015-09-20,2015-09-20,US15269314A 2016-09-19,TRUE,3,US,US,1,FALSE
US2015259209P 2015-11-24,2015-11-24,US15360069A 2016-11-23,TRUE,3,US,US,1,FALSE
US14520585A 2014-10-22,2014-10-22,US15421978A 2017-02-01,FALSE,5,US,US,1,FALSE
US2015259664P 2015-11-25,2015-11-25,US15332170A 2016-10-24,TRUE,3,US,US,1,FALSE
US14941017A 2015-11-13,2015-11-13,US14941017A 2015-11-13,FALSE,1,US,US,1,FALSE
US14940762A 2015-11-13,2015-11-13,US14940762A 2015-11-13,FALSE,1,US,US,1,FALSE
US14940747A 2015-11-13,2015-11-13,US14940747A 2015-11-13,FALSE,1,US,US,1,FALSE
US2015256072P 2015-11-16,2015-11-16,US15351373A 2016-11-14,TRUE,3,US,US,1,FALSE
EP2015194351A 2015-11-12,2015-11-12,US15348886A 2016-11-10,FALSE,1,EP,US,1,FALSE
US201415628P 2014-06-23,2014-06-23,US15322047A 2016-12-23,TRUE,4,US,US,1,FALSE
US2015193077P 2015-07-16,2015-07-16,US15213377A 2016-07-18,TRUE,3,US,US,1,FALSE
US2015255214P 2015-11-13,2015-11-13,US15143083A 2016-04-29,TRUE,21,US,US,1,FALSE
US14973411A 2015-12-17,2015-12-17,US14973411A 2015-12-17,FALSE,1,US,US,1,FALSE
US2015267443P 2015-12-15,2015-12-15,US15372668A 2016-12-08,TRUE,3,US,US,1,FALSE
US2015267129P 2015-12-14,2015-12-14,US15373674A 2016-12-09,TRUE,3,US,US,1,FALSE
US2015265906P 2015-12-10,2015-12-10,US15370385A 2016-12-06,TRUE,3,US,US,1,FALSE
US2015267858P 2015-12-15,2015-12-15,US15363522A 2016-11-29,TRUE,3,US,US,1,FALSE
US2015265889P 2015-12-10,2015-12-10,US15363333A 2016-11-29,TRUE,3,US,US,1,FALSE
US2015265913P 2015-12-10,2015-12-10,US15258956A 2016-09-07,TRUE,3,US,US,1,FALSE
US2015265925P 2015-12-10,2015-12-10,US15258939A 2016-09-07,TRUE,3,US,US,1,FALSE
US2015265900P 2015-12-10,2015-12-10,US15225272A 2016-08-01,TRUE,4,US,US,1,FALSE
US2015262108P 2015-12-02,2015-12-02,US15187588A 2016-06-20,TRUE,3,US,US,1,FALSE
US2015258867P 2015-11-23,2015-11-23,US15360813A 2016-11-23,TRUE,3,US,US,1,FALSE
US14947390A 2015-11-20,2015-11-20,US14947390A 2015-11-20,FALSE,1,US,US,1,FALSE
WO2014US41551A 2014-06-09,2014-06-09,US15317368A 2016-12-08,FALSE,2,WO,US,1,FALSE
US2015268281P 2015-12-16,2015-12-16,US15072911A 2016-03-17,TRUE,3,US,US,1,FALSE
US2015129726P 2015-03-06,2015-03-06,US15446914A 2017-03-01,TRUE,77,US,US,1,FALSE
US2015268399P 2015-12-16,2015-12-16,US15382330A 2016-12-16,TRUE,5,US,US,1,FALSE
US2015268349P 2015-12-16,2015-12-16,US15379332A 2016-12-14,TRUE,3,US,US,1,FALSE
US2015265370P 2015-12-09,2015-12-09,US15186998A 2016-06-20,TRUE,3,US,US,1,FALSE
US2015265324P 2015-12-09,2015-12-09,US15185315A 2016-06-17,TRUE,3,US,US,1,FALSE
US2015236512P 2015-10-02,2015-10-02,US15283830A 2016-10-03,TRUE,3,US,US,1,FALSE
US2015266823P 2015-12-14,2015-12-14,US15378985A 2016-12-14,TRUE,3,US,US,1,FALSE
US2015265192P 2015-12-09,2015-12-09,US15040954A 2016-02-10,TRUE,3,US,US,1,FALSE
US2015265817P 2015-12-10,2015-12-10,US15374821A 2016-12-09,TRUE,5,US,US,1,FALSE
US2015262735P 2015-12-03,2015-12-03,US15367716A 2016-12-02,TRUE,3,US,US,1,FALSE
CN201510897775A 2015-12-08,2015-12-08,US15373340A 2016-12-08,FALSE,1,CN,US,1,FALSE
US2015263983P 2015-12-07,2015-12-07,US15365478A 2016-11-30,TRUE,3,US,US,1,FALSE
US2015262249P 2015-12-02,2015-12-02,US15069834A 2016-03-14,TRUE,3,US,US,1,FALSE
KR2015111726A 2015-08-07,2015-08-07,US15230439A 2016-08-07,FALSE,1,KR,US,1,FALSE
US14953615A 2015-11-30,2015-11-30,US15365624A 2016-11-30,FALSE,3,US,US,1,FALSE
KR2015167643A 2015-11-27,2015-11-27,US15361449A 2016-11-27,FALSE,1,KR,US,1,FALSE
US14954595A 2015-11-30,2015-11-30,US14954595A 2015-11-30,FALSE,1,US,US,1,FALSE
US14955071A 2015-12-01,2015-12-01,US14955071A 2015-12-01,FALSE,1,US,US,1,FALSE
US2015260344P 2015-11-27,2015-11-27,US15361082A 2016-11-25,TRUE,4,US,US,1,FALSE
JP2015231121A 2015-11-26,2015-11-26,US15065963A 2016-03-10,FALSE,1,JP,US,1,FALSE
FR201561366A 2015-11-25,2015-11-25,US15357180A 2016-11-21,FALSE,1,FR,US,1,FALSE
US2014943170P 2014-02-21,2014-02-21,US15402900A 2017-01-10,TRUE,12,US,US,1,FALSE
US2011543624P 2011-10-05,2011-10-05,US15422613A 2017-02-02,TRUE,5,US,US,1,FALSE
CN201520943611U 2015-11-24,2015-11-24,US15356874A 2016-11-21,FALSE,1,CN,US,1,FALSE
JP2015230120A 2015-11-25,2015-11-25,US15278791A 2016-09-28,FALSE,2,JP,US,1,FALSE
WO2015SE51335A 2015-12-14,2015-12-14,US15305229A 2016-10-19,FALSE,1,WO,US,1,FALSE
US2015258332P 2015-11-20,2015-11-20,US15358007A 2016-11-21,TRUE,7,US,US,1,FALSE
US14976223A 2015-12-21,2015-12-21,US14976223A 2015-12-21,FALSE,1,US,US,1,FALSE
FR2014409A 2014-02-14,2014-02-14,US15118136A 2016-08-11,FALSE,2,FR,US,1,FALSE
US2015269608P 2015-12-18,2015-12-18,US15041334A 2016-02-11,TRUE,3,US,US,1,FALSE
KR2015179155A 2015-12-15,2015-12-15,US15380296A 2016-12-15,FALSE,1,KR,US,1,FALSE
US2015263085P 2015-12-04,2015-12-04,US15367655A 2016-12-02,TRUE,3,US,US,1,FALSE
US2015263496P 2015-12-04,2015-12-04,US15369726A 2016-12-05,TRUE,3,US,US,1,FALSE
US14956982A 2015-12-02,2015-12-02,US14956982A 2015-12-02,FALSE,1,US,US,1,FALSE
US2015264652P 2015-12-08,2015-12-08,US15371440A 2016-12-07,TRUE,17,US,US,1,FALSE
WO2015EP73822A 2015-10-14,2015-10-14,US14785901A 2015-10-21,FALSE,1,WO,US,1,FALSE
US14954108A 2015-11-30,2015-11-30,US14954108A 2015-11-30,FALSE,1,US,US,1,FALSE
US2013841725P 2013-07-01,2013-07-01,US15426675A 2017-02-07,TRUE,4,US,US,1,FALSE
US14948195A 2015-11-20,2015-11-20,US14948195A 2015-11-20,FALSE,1,US,US,1,FALSE
US2015260086P 2015-11-25,2015-11-25,US15360091A 2016-11-23,TRUE,3,US,US,1,FALSE
US14949541A 2015-11-23,2015-11-23,US14949541A 2015-11-23,FALSE,1,US,US,1,FALSE
WO2014US36192A 2014-04-30,2014-04-30,US15300181A 2016-09-28,FALSE,1,WO,US,1,FALSE
US14951527A 2015-11-25,2015-11-25,US14951527A 2015-11-25,FALSE,1,US,US,1,FALSE
US2015194021P 2015-07-17,2015-07-17,US15422585A 2017-02-02,TRUE,13,US,US,1,FALSE
KR2015161394A 2015-11-17,2015-11-17,US15349469A 2016-11-11,FALSE,10,KR,US,1,FALSE
WO2015EP76415A 2015-11-12,2015-11-12,US14994878A 2016-01-13,FALSE,2,WO,US,1,FALSE
US14858795A 2015-09-18,2015-09-18,US14858795A 2015-09-18,FALSE,1,US,US,1,FALSE
US14978620A 2015-12-22,2015-12-22,US14978620A 2015-12-22,FALSE,1,US,US,1,FALSE
